seqName	isoweek	lineage	variant
hCoV-19/USA/NC-CORVASEQ-UNC-0056/2021	4	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0057/2021	4	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0058/2021	4	W.1	
hCoV-19/USA/NC-CORVASEQ-UNC-0059/2021	4	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0060/2021	4	B.1	
hCoV-19/USA/NC-CORVASEQ-UNC-0061/2021	4	B.1.240	
hCoV-19/USA/NC-CORVASEQ-UNC-0062/2021	3	B.1.234	
hCoV-19/USA/NC-CORVASEQ-UNC-0063/2021	4	B.1.110.3	
hCoV-19/USA/NC-CORVASEQ-UNC-0064/2021	4	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0065/2021	4	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0066/2021	4	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0067/2021	4	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0068/2021	4	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0069/2021	4	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0070/2021	4	B.1.349	
hCoV-19/USA/NC-CORVASEQ-UNC-0071/2021	4	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0072/2021	4	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0073/2021	4	B.1.240	
hCoV-19/USA/NC-CORVASEQ-UNC-0074/2021	4	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0075/2021	4	B.1.398	
hCoV-19/USA/NC-CORVASEQ-UNC-0076/2021	4	B.1.110.3	
hCoV-19/USA/NC-CORVASEQ-UNC-0077/2021	3	B.1.1.432	
hCoV-19/USA/NC-CORVASEQ-UNC-0078/2021	4	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0079/2021	5	B.1.243	
hCoV-19/USA/NC-CORVASEQ-UNC-0080/2021	5	B.1.1.519	
hCoV-19/USA/NC-CORVASEQ-UNC-0081/2021	5	B.1.1.519	
hCoV-19/USA/NC-CORVASEQ-UNC-0082/2021	4	B.1.575	
hCoV-19/USA/NC-CORVASEQ-UNC-0083/2021	5	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0084/2021	4	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0085/2021	4	B.1.243	
hCoV-19/USA/NC-CORVASEQ-UNC-0086/2021	5	B.1.1.519	
hCoV-19/USA/NC-CORVASEQ-UNC-0087/2021	5	B.1.429	Epsilon (B.1.429-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0088/2021	5	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0089/2021	5	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0090/2021	4	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0091/2021	5	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0092/2021	5	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0093/2021	5	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0094/2021	5	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0095/2021	5	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0096/2021	5	B.1.429	Epsilon (B.1.429-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0097/2021	5	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0098/2021	4	B.1.433	
hCoV-19/USA/NC-CORVASEQ-UNC-0099/2021	5	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0100/2021	4	B.1.429	Epsilon (B.1.429-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0101/2021	5	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0102/2021	5	B.1.429	Epsilon (B.1.429-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0103/2021	5	B.1.429	Epsilon (B.1.429-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0104/2021	5	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0105/2021	5	B.1.409	
hCoV-19/USA/NC-CORVASEQ-UNC-0106/2021	5	B.1.429	Epsilon (B.1.429-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0107/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0108/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0109/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0110/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0111/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0112/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0113/2021	5	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0114/2021	6	B.1.1.519	
hCoV-19/USA/NC-CORVASEQ-UNC-0115/2021	6	B.1.234	
hCoV-19/USA/NC-CORVASEQ-UNC-0116/2021	6	B.1.234	
hCoV-19/USA/NC-CORVASEQ-UNC-0117/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0118/2021	6	B.1.1.7	Alpha (B.1.1.7-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0119/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0120/2021	6	B.1.234	
hCoV-19/USA/NC-CORVASEQ-UNC-0121/2021	6	B.1.110.3	
hCoV-19/USA/NC-CORVASEQ-UNC-0122/2021	5	B.1.429	Epsilon (B.1.429-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0123/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0124/2021	5	B.1.1.101	
hCoV-19/USA/NC-CORVASEQ-UNC-0125/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0126/2021	6	R.1	
hCoV-19/USA/NC-CORVASEQ-UNC-0127/2021	6	B.1.429	Epsilon (B.1.429-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0128/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0129/2021	6	B.1.429	
hCoV-19/USA/NC-CORVASEQ-UNC-0130/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0131/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0132/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0133/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0134/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0135/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0136/2021	5	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0137/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0138/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0139/2021	5	B.1.517	
hCoV-19/USA/NC-CORVASEQ-UNC-0140/2021	6	B.1.1.434	
hCoV-19/USA/NC-CORVASEQ-UNC-0141/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0142/2021	5	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0143/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0144/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0145/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0146/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0147/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0148/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0149/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0150/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0151/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0152/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0153/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0154/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0155/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0156/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0157/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0158/2021	6	B.1.429	Epsilon (B.1.429-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0159/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0160/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0161/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0162/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0163/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0164/2021	6	B.1.429	Epsilon (B.1.429-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0165/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0166/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0167/2021	6	B.1.429	Epsilon (B.1.429-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0168/2021	6	B.1.429	Epsilon (B.1.429-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0169/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0170/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0171/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0172/2021	6	B.1.311	
hCoV-19/USA/NC-CORVASEQ-UNC-0173/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0174/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0175/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0176/2021	6	B.1.349	
hCoV-19/USA/NC-CORVASEQ-UNC-0177/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0178/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0179/2021	6	B.1	
hCoV-19/USA/NC-CORVASEQ-UNC-0180/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0181/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0182/2021	6	B.1.1	
hCoV-19/USA/NC-CORVASEQ-UNC-0183/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0184/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0185/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0186/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0187/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0188/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0189/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0190/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0191/2021	6	B.1.234	
hCoV-19/USA/NC-CORVASEQ-UNC-0192/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0193/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0194/2021	6	B.1.234	
hCoV-19/USA/NC-CORVASEQ-UNC-0195/2021	6	B.1.1.7	
hCoV-19/USA/NC-CORVASEQ-UNC-0196/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0197/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0198/2021	5	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0199/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0200/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0201/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0202/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0203/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0204/2021	7	B.1.409	
hCoV-19/USA/NC-CORVASEQ-UNC-0205/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0206/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0207/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0208/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0209/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0210/2021	7	B.1.1.434	
hCoV-19/USA/NC-CORVASEQ-UNC-0211/2021	7	B.1.429	Epsilon (B.1.429-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0212/2021	7	B.1.526	Iota (B.1.526-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0213/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0214/2021	7	B.1.1.7	Alpha (B.1.1.7-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0215/2021	7	B.1.623	
hCoV-19/USA/NC-CORVASEQ-UNC-0216/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0217/2021	7	B.1.509	
hCoV-19/USA/NC-CORVASEQ-UNC-0218/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0219/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0220/2021	7	B.1.1.7	Alpha (B.1.1.7-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0222/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0224/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0225/2021	7	B.1.240	
hCoV-19/USA/NC-CORVASEQ-UNC-0226/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0227/2021	7	B.1.243	
hCoV-19/USA/NC-CORVASEQ-UNC-0230/2021	7	B.1.429	Epsilon (B.1.429-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0231/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0232/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0233/2021	7	B.1.1.7	Alpha (B.1.1.7-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0234/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0235/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0237/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0238/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0239/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0240/2021	7	B.1.1.7	Alpha (B.1.1.7-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0241/2021	6	B.1.509	
hCoV-19/USA/NC-CORVASEQ-UNC-0242/2021	7	B.1.605	
hCoV-19/USA/NC-CORVASEQ-UNC-0243/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0244/2021	7	B.1.311	
hCoV-19/USA/NC-CORVASEQ-UNC-0245/2021	7	B.1.349	
hCoV-19/USA/NC-CORVASEQ-UNC-0246/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0247/2021	7	B.1.234	
hCoV-19/USA/NC-CORVASEQ-UNC-0248/2021	4	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0249/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0250/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0251/2021	7	B.1.311	
hCoV-19/USA/NC-CORVASEQ-UNC-0252/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0254/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0255/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0257/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0259/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0260/2021	7	C.37	Lambda (C.37-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0261/2021	7	B.1.509	
hCoV-19/USA/NC-CORVASEQ-UNC-0262/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0263/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0264/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0267/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0268/2021	7	B.1.429	Epsilon (B.1.429-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0269/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0270/2021	5	B.1.429	Epsilon (B.1.429-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0271/2021	6	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0273/2021	5	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0274/2021	7	B.1.349	
hCoV-19/USA/NC-CORVASEQ-UNC-0275/2021	7	B.1.1.207	
hCoV-19/USA/NC-CORVASEQ-UNC-0276/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0277/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0280/2021	7	B.1.349	
hCoV-19/USA/NC-CORVASEQ-UNC-0281/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0284/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0286/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0287/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0289/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0290/2021	5	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0292/2021	7	B.1.351	Beta (B.1.351-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0293/2021	7	B.1.623	
hCoV-19/USA/NC-CORVASEQ-UNC-0294/2021	7	B.1.1.7	Alpha (B.1.1.7-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0295/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0296/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0297/2021	8	B.1.595	
hCoV-19/USA/NC-CORVASEQ-UNC-0298/2021	8	B.1.575	
hCoV-19/USA/NC-CORVASEQ-UNC-0299/2021	8	B.1.1.7	Alpha (B.1.1.7-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0300/2021	7	B.1.243	
hCoV-19/USA/NC-CORVASEQ-UNC-0301/2021	8	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0302/2021	8	B.1	
hCoV-19/USA/NC-CORVASEQ-UNC-0303/2021	8	B.1.1.207	
hCoV-19/USA/NC-CORVASEQ-UNC-0304/2021	8	B.1.311	
hCoV-19/USA/NC-CORVASEQ-UNC-0305/2021	7	B.1.311	
hCoV-19/USA/NC-CORVASEQ-UNC-0306/2021	8	B.1.311	
hCoV-19/USA/NC-CORVASEQ-UNC-0307/2021	8	B.1.1	
hCoV-19/USA/NC-CORVASEQ-UNC-0308/2021	7	B.1	
hCoV-19/USA/NC-CORVASEQ-UNC-0311/2021	8	B.1.1.519	
hCoV-19/USA/NC-CORVASEQ-UNC-0312/2021	8	B.1.311	
hCoV-19/USA/NC-CORVASEQ-UNC-0313/2021	8	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0314/2021	8	B.1.1.519	
hCoV-19/USA/NC-CORVASEQ-UNC-0315/2021	8	B.1.1.207	
hCoV-19/USA/NC-CORVASEQ-UNC-0316/2021	8	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0317/2021	8	B.1.427	Epsilon (B.1.427-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0318/2021	8	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0319/2021	8	B.1.243	
hCoV-19/USA/NC-CORVASEQ-UNC-0320/2021	8	B.1.526	Iota (B.1.526-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0322/2021	8	B.1.351	Beta (B.1.351-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0324/2021	8	B.1	
hCoV-19/USA/NC-CORVASEQ-UNC-0325/2021	8	B.1	
hCoV-19/USA/NC-CORVASEQ-UNC-0326/2021	8	B.1.1	
hCoV-19/USA/NC-CORVASEQ-UNC-0327/2021	7	B.1.1.222	
hCoV-19/USA/NC-CORVASEQ-UNC-0329/2021	8	B.1	
hCoV-19/USA/NC-CORVASEQ-UNC-0330/2021	8	B.1.1.7	Alpha (B.1.1.7-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0332/2021	8	B.1.582	
hCoV-19/USA/NC-CORVASEQ-UNC-0333/2021	8	B.1	
hCoV-19/USA/NC-CORVASEQ-UNC-0334/2021	8	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0335/2021	8	B.1.1	
hCoV-19/USA/NC-CORVASEQ-UNC-0336/2021	8	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0337/2021	8	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0338/2021	8	B.1.351	Beta (B.1.351-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0339/2021	8	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0340/2021	8	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0341/2021	7	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0343/2021	8	B.1.1.7	Alpha (B.1.1.7-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0344/2021	8	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0346/2021	8	B.1.1.519	
hCoV-19/USA/NC-CORVASEQ-UNC-0347/2021	8	B.1.429	Epsilon (B.1.429-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0348/2021	8	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0350/2021	8	B.1.1.7	Alpha (B.1.1.7-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0351/2021	8	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0354/2021	8	B.1.349	
hCoV-19/USA/NC-CORVASEQ-UNC-0355/2021	7	B.1.1.7	Alpha (B.1.1.7-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0356/2021	8	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0359/2021	8	B.1.429	Epsilon (B.1.429-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0361/2021	8	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0362/2021	8	B.1.526	Iota (B.1.526-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0374/2021	8	B.1.2	
hCoV-19/USA/NC-CORVASEQ-UNC-0377/2021	8	B.1.1.7	Alpha (B.1.1.7-like)
hCoV-19/USA/NC-CORVASEQ-UNC-0378/2021	8	B.1.2	
